z0,z1,phase
-5.376796,-1.525919,deploy
-5.334553,-1.586135,deploy
-5.294156,-1.639519,deploy
-5.255841,-1.686540,deploy
-5.219802,-1.727634,deploy
-5.186206,-1.763194,deploy
-5.155153,-1.793627,deploy
-5.126729,-1.819286,deploy
-5.100962,-1.840532,deploy
-5.077860,-1.857692,deploy
-5.057405,-1.871058,deploy
-5.039546,-1.880936,deploy
-5.024193,-1.887618,deploy
-5.011286,-1.891311,deploy
-5.000687,-1.892310,deploy
-4.992282,-1.890832,deploy
-4.985944,-1.887084,deploy
-4.981510,-1.881308,deploy
-4.978846,-1.873675,deploy
-4.977787,-1.864396,deploy
-4.978170,-1.853660,deploy
-4.979837,-1.841645,deploy
-4.982625,-1.828528,deploy
-4.986373,-1.814479,deploy
-4.990929,-1.799660,deploy
-4.996135,-1.784232,deploy
-5.001845,-1.768350,deploy
-5.007915,-1.752165,deploy
-5.014210,-1.735822,deploy
-5.020610,-1.719445,deploy
-5.026973,-1.703204,deploy
-5.033188,-1.687215,deploy
-5.039153,-1.671603,deploy
-5.044763,-1.656491,deploy
-5.049924,-1.641991,deploy
-5.054550,-1.628214,deploy
-5.058561,-1.615261,deploy
-5.061882,-1.603228,deploy
-5.064448,-1.592202,deploy
-5.066195,-1.582263,deploy
-5.067071,-1.573485,deploy
-5.067021,-1.565932,deploy
-5.065992,-1.559676,deploy
-5.063964,-1.554730,deploy
-5.060889,-1.551151,deploy
-5.056722,-1.548986,deploy
-5.051459,-1.548221,deploy
-5.045049,-1.548905,deploy
-5.037481,-1.551023,deploy
-5.028745,-1.554556,deploy
-5.018804,-1.559527,deploy
-5.007652,-1.565899,deploy
-4.995280,-1.573647,deploy
-4.981674,-1.582737,deploy
-4.966830,-1.593132,deploy
-4.950742,-1.604784,deploy
-4.933406,-1.617647,deploy
-4.914825,-1.631663,deploy
-4.894987,-1.646793,deploy
-4.873921,-1.662939,deploy
-4.851621,-1.680053,deploy
-4.828087,-1.698084,deploy
-4.803353,-1.716927,deploy
-4.777425,-1.736529,deploy
-4.750308,-1.756833,deploy
-4.722044,-1.777731,deploy
-4.692638,-1.799184,deploy
-4.662138,-1.821082,deploy
-4.630551,-1.843387,deploy
-4.597932,-1.865990,deploy
-4.564295,-1.888856,deploy
-4.529702,-1.911875,deploy
-4.494173,-1.935014,deploy
-4.457776,-1.958168,deploy
-4.420537,-1.981303,deploy
-4.382517,-2.004337,deploy
-4.323233,-2.045450,deploy
-4.240076,-2.105576,deploy
-4.154274,-2.164955,deploy
-4.065804,-2.223615,deploy
-3.974638,-2.281581,deploy
-3.880773,-2.338856,deploy
-3.784166,-2.395499,deploy
-0.754596,-1.717708,deploy
-0.650565,-1.777418,deploy
-0.544908,-1.836483,deploy
-0.437728,-1.894894,deploy
-0.329112,-1.952674,deploy
-0.219168,-2.009823,deploy
-0.108010,-2.066342,deploy
0.004232,-2.122208,deploy
0.117440,-2.177424,deploy
0.231477,-2.231972,deploy
0.346201,-2.285825,coast
1.151479,-2.907544,coast
1.214398,-2.896144,coast
1.277093,-2.884910,coast
1.339526,-2.873710,coast
1.401686,-2.862462,coast
1.463555,-2.851072,coast
1.525133,-2.839469,coast
1.586389,-2.827540,coast
1.647333,-2.815229,coast
1.707971,-2.802472,coast
1.768316,-2.789217,coast
1.828384,-2.775416,coast
1.888200,-2.761038,coast
1.947791,-2.746053,coast
2.006820,-2.729901,coast
2.065681,-2.713119,coast
2.124393,-2.695695,coast
2.185606,-2.677231,coast
2.232513,-2.638670,coast
2.267766,-2.582583,coast
2.296100,-2.514021,coast
2.321104,-2.437071,coast
2.345394,-2.354980,braking
2.370853,-2.270364,braking
2.398741,-2.185269,braking
2.429894,-2.101345,braking
2.464809,-2.019912,braking
2.561404,-2.024219,braking
2.753230,-2.174347,coast
2.905242,-2.286110,coast
3.023151,-2.362236,coast
3.112230,-2.405966,coast
3.177478,-2.421126,coast
3.223648,-2.412007,coast
3.255166,-2.383092,coast
3.280607,-2.344429,coast
3.305212,-2.303153,coast
3.328821,-2.258720,coast
3.351510,-2.210975,coast
3.373430,-2.159837,coast
3.394710,-2.105217,cornering
3.415914,-2.047524,cornering
3.436753,-1.986177,cornering
3.457339,-1.921069,cornering
3.477798,-1.852101,cornering
3.498246,-1.779163,cornering
3.518805,-1.702149,cornering
3.539579,-1.620933,cornering
3.560631,-1.535355,cornering
3.582074,-1.445301,cornering
3.603981,-1.350629,cornering
3.626402,-1.251184,cornering
3.649398,-1.146839,cornering
3.672990,-1.037452,cornering
3.697199,-0.922907,cornering
