threshold,fpr,tpr
6.47678137,0.00000000,0.20000000
6.47440100,0.00000000,0.20083333
6.47055483,0.00000000,0.20166667
6.46326876,0.00000000,0.20250000
6.45782709,0.00000000,0.20333333
6.45258427,0.00000000,0.20416667
6.44426727,0.00000000,0.20500000
6.44405985,0.00000000,0.20583333
6.44030428,0.00000000,0.20666667
6.44018984,0.00000000,0.20750000
6.43909883,0.00000000,0.20833333
6.43777800,0.00000000,0.20916667
6.43757153,0.00000000,0.21000000
6.43064451,0.00000000,0.21083333
6.43002272,0.00000000,0.21166667
6.42285967,0.00000000,0.21250000
6.42190218,0.00000000,0.21333333
6.41720915,0.00000000,0.21416667
6.40813208,0.00000000,0.21500000
6.40561962,0.00000000,0.21583333
6.40312433,0.00000000,0.21666667
6.39794397,0.00000000,0.21750000
6.39776993,0.00000000,0.21833333
6.39438200,0.00000000,0.21916667
6.39054918,0.00000000,0.22000000
6.38820171,0.00000000,0.22083333
6.38788891,0.00000000,0.22166667
6.38247061,0.00000000,0.22250000
6.38137960,0.00000000,0.22333333
6.37903738,0.00000000,0.22416667
6.37122440,0.00000000,0.22500000
6.36532307,0.00000000,0.22583333
6.35588551,0.00000000,0.22666667
6.34928560,0.00000000,0.22750000
6.34675932,0.00000000,0.22833333
6.34117270,0.00000000,0.22916667
6.33901167,0.00000000,0.23000000
6.32865191,0.00000000,0.23083333
6.32823420,0.00000000,0.23166667
6.32785320,0.00000000,0.23250000
6.32389832,0.00000000,0.23333333
6.31829691,0.00000000,0.23416667
6.31688452,0.00000000,0.23500000
6.31645918,0.00000000,0.23583333
6.31147099,0.00000000,0.23666667
6.31016541,0.00000000,0.23750000
6.30332661,0.00000000,0.23833333
6.30174971,0.00000000,0.23916667
6.29949284,0.00000000,0.24000000
6.29849720,0.00000000,0.24083333
6.29659557,0.00000000,0.24166667
6.28815079,0.00000000,0.24250000
6.28773069,0.00000000,0.24333333
6.28121805,0.00000000,0.24416667
6.27970171,0.00000000,0.24500000
6.27399445,0.00000000,0.24583333
6.27267408,0.00000000,0.24666667
6.25972509,0.00000000,0.24750000
6.25142717,0.00000000,0.24833333
6.24631214,0.00000000,0.24916667
6.24009085,0.00000000,0.25000000
6.23696613,0.00000000,0.25083333
6.23583174,0.00000000,0.25166667
6.23582602,0.00000000,0.25250000
6.23476696,0.00000000,0.25333333
6.23421431,0.00000000,0.25416667
6.23036242,0.00000000,0.25500000
6.22377253,0.00000000,0.25583333
6.20628023,0.00000000,0.25666667
6.20477724,0.00000000,0.25750000
6.20121861,0.00000000,0.25833333
6.17469501,0.00000000,0.25916667
6.17402172,0.00000000,0.26000000
6.16626787,0.00000000,0.26083333
6.15715504,0.00000000,0.26166667
6.15435028,0.00000000,0.26250000
6.15341139,0.00000000,0.26333333
6.14079380,0.00000000,0.26416667
6.14073420,0.00000000,0.26500000
6.14014053,0.00000000,0.26583333
6.13789892,0.00000000,0.26666667
6.13784361,0.00000000,0.26750000
6.13418674,0.00000000,0.26833333
6.13071585,0.00000000,0.26916667
6.12847519,0.00000000,0.27000000
6.12513494,0.00000000,0.27083333
6.12353897,0.00000000,0.27166667
6.12089252,0.00000000,0.27250000
6.11749935,0.00000000,0.27333333
6.11405420,0.00000000,0.27416667
6.10587168,0.00000000,0.27500000
6.10300112,0.00000000,0.27583333
6.09876871,0.00000000,0.27666667
6.09115314,0.00000000,0.27750000
6.08326817,0.00000000,0.27833333
6.07648945,0.00000000,0.27916667
6.07576895,0.00000000,0.28000000
6.07513714,0.00000000,0.28083333
6.07316732,0.00000000,0.28166667
6.07233858,0.00000000,0.28250000
6.06918192,0.00000000,0.28333333
6.05949783,0.00000000,0.28416667
6.05857325,0.00000000,0.28500000
6.05266619,0.00000000,0.28583333
6.04840803,0.00000000,0.28666667
6.04826212,0.00000000,0.28750000
